PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
Gaussian;9;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;9;1;4;24;14;0;0.416667;1086;471;28;0.554820;2025-05-27 21:13:05.064784603+01:00;2025-05-27 21:13:05.092680113+01:00;0.027895
Gaussian;9;2;1;24;12;0;0.500000;1086;378;28;0.642722;2025-05-27 21:13:05.094700301+01:00;2025-05-27 21:13:05.122372496+01:00;0.027672
Gaussian;9;3;5;24;10;0;0.583333;1086;354;28;0.665406;2025-05-27 21:13:05.124429205+01:00;2025-05-27 21:13:05.151971512+01:00;0.027542
Gaussian;9;4;7;24;2;0;0.916667;1086;58;28;0.945180;2025-05-27 21:13:05.153903290+01:00;2025-05-27 21:13:05.181873841+01:00;0.02797
Gaussian;9;5;6;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:05.183820476+01:00;2025-05-27 21:13:05.211630766+01:00;0.02781
Gaussian;10;0;0;24;24;0;0.000000;1086;1058;28;0.000000;-;-;-
Gaussian;10;1;6;24;12;0;0.500000;1086;462;28;0.563327;2025-05-27 21:13:05.297299898+01:00;2025-05-27 21:13:05.325595300+01:00;0.028295
Gaussian;10;2;5;24;10;0;0.583333;1086;422;28;0.601134;2025-05-27 21:13:05.327620262+01:00;2025-05-27 21:13:05.357320383+01:00;0.0297
Gaussian;10;3;4;24;10;0;0.583333;1086;422;28;0.601134;2025-05-27 21:13:05.359510435+01:00;2025-05-27 21:13:05.387806277+01:00;0.028295
Gaussian;10;4;1;24;8;0;0.666667;1086;329;28;0.689036;2025-05-27 21:13:05.389876644+01:00;2025-05-27 21:13:05.418104305+01:00;0.028227
Gaussian;10;5;7;24;0;0;1.000000;1086;33;28;0.968809;2025-05-27 21:13:05.420163067+01:00;2025-05-27 21:13:05.448643892+01:00;0.02848
